cmtcode         zSNR     zSNR     zSNR
B201601012304A  1.089    0.828    0.675
B201601112219A  1.732    0.964    1.572
B201601260346A  1.987    1.058    1.618
B201601262319A  1.037    1.094    0.923
B201602141809A  NaN      NaN      NaN
B201603040425A  NaN      NaN      NaN
B201603111058A  NaN      NaN      NaN
B201604040207A  NaN      NaN      NaN
B201604071340A  NaN      NaN      NaN
B201604201133A  NaN      NaN      NaN
B201604250802A  NaN      NaN      NaN
B201605010142A  NaN      NaN      NaN
B201605071359A  NaN      NaN      NaN
B201605081641A  NaN      NaN      NaN
B201605131257A  NaN      NaN      NaN
B201605242220A  NaN      NaN      NaN
B201606030828A  NaN      NaN      NaN
B201606070702A  NaN      NaN      NaN
B201606070908A  NaN      NaN      NaN
B201606110243A  NaN      NaN      NaN
B201606160048A  NaN      NaN      NaN
B201606210751A  NaN      NaN      NaN
B201606211140A  NaN      NaN      NaN
B201607182109A  0.997    0.964    1.064
B201607231238A  1.067    1.162    0.890
B201608171511A  0.650    1.047    0.987
B201608220933A  1.323    1.186    1.095
B201609031226A  0.182    0.214    0.148
B201609040459A  0.804    0.880    0.776
B201609061104A  1.200    0.817    0.873
B201609120312A  0.917    0.982    1.112
B201609271030A  1.672    0.873    1.470
B201610010425A  1.306    1.424    1.214
B201610120416A  1.101    1.294    1.607
B201610200749A  0.716    0.867    0.853
B201611082330A  NaN      NaN      NaN
B201611101735A  NaN      NaN      NaN
B201611162026A  NaN      NaN      NaN
B201611221603A  NaN      NaN      NaN
B201611240035A  NaN      NaN      NaN
B201611270649A  NaN      NaN      NaN
B201611302207A  NaN      NaN      NaN
B201612061649A  NaN      NaN      NaN
B201612112057A  NaN      NaN      NaN
B201612130246A  NaN      NaN      NaN
B201701021015A  1.119    0.905    0.763
B201701121704A  1.436    1.035    0.948
B201701311555A  1.177    0.916    1.184
B201702071223A  0.595    1.235    0.904
B201702080006A  1.076    0.773    0.897
B201702111115A  0.851    0.995    0.776
B201702161210A  0.774    1.059    0.614
B201702162144A  0.882    0.874    0.936
B201702231703A  1.422    0.887    1.533
C201601010200A  3.068    0.902    0.606
C201601011502A  0.688    0.976    1.678
C201601011715A  2.135    1.058    1.350
C201601011923A  1.599    1.185    1.170
C201601012149A  0.532    0.590    0.261
C201601020422A  2.122    1.062    2.308
C201601020837A  0.592    1.390    1.135
C201601030201A  0.204    0.427    0.226
C201601030736A  0.996    0.984    1.363
C201601031439A  0.519    0.880    0.964
C201601032305A  9.431    1.137    1.079
C201601041353A  1.751    1.691    1.335
C201601041436A  1.148    1.230    1.185
C201601050158A  0.983    1.367    1.330
C201601050221A  0.932    0.931    0.966
C201601050528A  1.007    0.936    1.164
C201601050934A  1.746    0.877    0.998
C201601052036A  0.559    0.941    0.897
C201601052159A  0.972    0.997    0.968
C201601052205A  1.028    0.997    0.904
C201601060458A  1.645    0.851    0.862
C201601061318A  1.651    1.137    0.570
C201601070252A  1.259    1.290    1.056
C201601070428A  2.311    12.425   50.448
C201601071050A  0.954    1.059    0.782
C201601071540A  0.756    1.268    0.464
C201601072023A  1.601    1.362    0.805
C201601080112A  1.030    0.895    1.171
C201601080508A  0.724    0.929    1.208
C201601080907A  0.515    0.754    0.811
C201601081329A  1.011    1.179    0.936
C201601081406A  1.673    0.870    0.840
C201601081445A  1.157    1.239    2.032
C201601082154A  1.030    1.088    1.612
C201601082221A  0.712    0.792    1.020
C201601090146A  0.806    0.685    1.221
C201601091412A  1.216    0.939    0.897
C201601092006A  0.878    0.949    0.945
C201601092011A  1.202    1.273    0.836
C201601100037A  1.411    1.017    0.951
C201601100140A  0.932    1.002    1.115
C201601100153A  1.406    1.575    0.846
C201601100436A  1.027    1.076    1.097
C201601100909A  1.376    1.723    1.002
C201601101212A  2.078    0.959    0.978
C201601101218A  1.373    1.543    0.625
C201601101420A  0.896    0.694    1.071
C201601101523A  1.284    1.073    0.874
C201601101740A  0.923    0.978    0.939
C201601102207A  1.440    1.108    0.712
C201601102348A  0.869    1.096    0.986
C201601111232A  0.811    1.202    0.703
C201601111638A  3.215    0.888    1.136
C201601111708A  5.081    1.008    3.054
C201601112339A  1.218    1.393    1.493
C201601120945A  2.182    1.103    0.899
C201601122005A  0.671    1.001    0.879
C201601130547A  0.983    0.856    0.980
C201601130555A  0.804    0.841    0.870
C201601130752A  1.333    0.911    0.570
C201601131829A  0.932    0.882    0.861
